Closest Location,Date,No. of Cases,precipIntensity,precipIntensityMax,precipIntensityMaxTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,humidity
Clementi,21/01/2019,2.0,0.0017,0.0066,1546851480,88.7,1546842840,78.97,1546891260,0.83
Clementi,25/01/2019,8.0,0.0002,0.001,1547153880,89.24,1547183520,75.92,1547246340,0.81
Clementi,26/06/2019,2.0,0.0037,0.0295,1560297600,88.04,1560316020,81.83,1560368760,0.86
Clementi,27/05/2019,2.0,0.0088,0.0371,1557694740,90.45,1557723960,80.37,1557776640,0.81
Clementi,28/01/2019,8.0,0.0178,0.0747,1547445540,87.72,1547439300,76.01,1547505660,0.86
Clementi,28/06/2019,3.0,0.0039,0.0267,1560460080,89.09,1560494880,80.3,1560545460,0.84
Clementi,29/01/2019,13.0,0.0037,0.0324,1547532000,88.84,1547535300,76.77,1547592600,0.82
Dhoby Ghaut,03/06/2019,9.0,0.0001,0.0004,1558345440,90.57,1558328160,80.85,1558381800,0.8
Dhoby Ghaut,07/06/2019,3.0,0.0009,0.004,1558644420,90.94,1558681020,80.01,1558727760,0.78
Dhoby Ghaut,10/06/2019,6.0,0.0066,0.0327,1558969200,91.44,1558933560,80.75,1558985940,0.81
Dhoby Ghaut,14/06/2019,12.0,0.0143,0.0892,1559250060,89.01,1559279100,79.48,1559342520,0.82
Dhoby Ghaut,19/06/2019,11.0,0.0052,0.0284,1559682000,90.2,1559710500,79.29,1559774760,0.81
