Location,No. of Cases,Date,Latitude,Longtitude,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Pandan Gardens (Blk 404),3,07/01/2019,1.3198704,103.7492367,Jurong (North),—,—,—,—,—,—,—,—,—
Pandan Gardens (Blk 405),1,07/01/2019,1.3192822,103.7496893,Jurong (North),—,—,—,—,—,—,—,—,—
Pandan Gardens (Blk 411),7,07/01/2019,1.3189330,103.7467021,Jurong (North),—,—,—,—,—,—,—,—,—
Pandan Gardens (Blk 412),3,07/01/2019,1.3196630,103.7470642,Jurong (North),—,—,—,—,—,—,—,—,—
Pandan Gardens (Blk 413),1,07/01/2019,1.3195115,103.7479694,Jurong (North),—,—,—,—,—,—,—,—,—
Pandan Gardens (Blk 414),19,07/01/2019,1.3201012,103.7472453,Jurong (North),—,—,—,—,—,—,—,—,—
Kaki Bukit Industrial Terrace,16,07/01/2019,1.3357532,103.9021851,Chai Chee,0,0,0,0,—,—,—,—,—
Kaki Bukit Place,2,07/01/2019,1.3352173,103.9036946,Chai Chee,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 308),3,07/01/2019,1.3669122,103.8959572,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 310),6,07/01/2019,1.3663252,103.8961384,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 319),1,07/01/2019,1.3657345,103.8969540,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 320),1,07/01/2019,1.3663790,103.8981550,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 322),1,07/01/2019,1.3670512,103.8972259,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 5 (Blk 324),1,07/01/2019,1.3675124,103.8974855,Buangkok,0,0,0,0,—,—,—,—,—
Cashew Road (Cashew Heights),4,07/01/2019,1.3718515,103.7677710,Bukit Panjang,0,0,0,0,—,—,—,—,—
Gangsa Road (Blk 153),3,07/01/2019,1.3750816,103.7653500,Bukit Panjang,0,0,0,0,—,—,—,—,—
Gangsa Road (Blk 154),2,07/01/2019,1.3748817,103.7650558,Bukit Panjang,0,0,0,0,—,—,—,—,—
Hazel Park Terrace (Hazel Park Condominium),3,07/01/2019,1.3717218,103.7642820,Bukit Panjang,0,0,0,0,—,—,—,—,—
Jalan Damai (Blk 665),1,07/01/2019,1.3341158,103.9081004,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Damai (Blk 667),1,07/01/2019,1.3338199,103.9086442,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 651),1,07/01/2019,1.3322173,103.9073754,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 652),1,07/01/2019,1.3326533,103.9079192,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 654),2,07/01/2019,1.3328801,103.9066505,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 655),1,07/01/2019,1.3333365,103.9068090,Chai Chee,0,0,0,0,—,—,—,—,—
Jalan Tenaga (Blk 658),1,07/01/2019,1.3336872,103.9062880,Chai Chee,0,0,0,0,—,—,—,—,—
Alexandra Road (The Anchorage),4,07/01/2019,1.2898310,103.8042250,Pasir Panjang,0,0,0,0,29.1,32.7,26.8,15.1,42.5
Barbary Walk,1,07/01/2019,1.2904185,103.8055399,Queenstown,0,0,0,0,—,—,—,—,—
Stirling Road (Blk 171),1,07/01/2019,1.2906819,103.8038534,Queenstown,0,0,0,0,—,—,—,—,—
Bedok Avenue,1,07/01/2019,1.3217159,103.9527354,Simei,—,—,—,—,—,—,—,—,—
Bedok Garden,2,07/01/2019,1.3212080,103.9274140,Chai Chee,0,0,0,0,—,—,—,—,—
Bedok Road,1,07/01/2019,1.3264714,103.9512968,Simei,—,—,—,—,—,—,—,—,—
Bedok Road (Country Park Condominium),1,07/01/2019,1.3213921,103.9547724,Simei,—,—,—,—,—,—,—,—,—
Jalan Bilal,1,07/01/2019,1.3221740,103.9540573,Simei,—,—,—,—,—,—,—,—,—
Haig Road (Blk 2),1,07/01/2019,1.3123728,103.8976789,Tanjong Katong,0,0,0,0,—,—,—,—,—
Ipoh Lane (Emery Point),1,07/01/2019,1.3117080,103.8957262,Marine Parade,0,0,0,0,—,—,—,—,—
Ipoh Lane (Imperial Heights),1,07/01/2019,1.3116198,103.8950390,Marine Parade,0,0,0,0,—,—,—,—,—
Ipoh Lane (Versilia on Haig),1,07/01/2019,1.3121902,103.8959146,Marine Parade,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 527),1,07/01/2019,1.3748555,103.8905203,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 528),1,07/01/2019,1.3752207,103.8907015,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 530),1,07/01/2019,1.3752792,103.8900899,Buangkok,0,0,0,0,—,—,—,—,—
Hougang Avenue 6 (Blk 531),1,07/01/2019,1.3758094,103.8902484,Buangkok,0,0,0,0,—,—,—,—,—
Jalan Pergam,2,07/01/2019,1.3444372,103.9615256,Simei,—,—,—,—,—,—,—,—,—
Upper Changi Road East,2,07/01/2019,1.3374077,103.9595225,Simei,—,—,—,—,—,—,—,—,—
Pasir Ris Street 21 (Blk 228),2,07/01/2019,1.3721626,103.9615797,Pasir Ris (Central),0,0,0,0,—,—,—,—,—
Pasir Ris Street 21 (Blk 240),1,07/01/2019,1.3734738,103.9627583,Pasir Ris (Central),0,0,0,0,—,—,—,—,—
Yishun Avenue 5 (Blk 703),2,07/01/2019,1.4296282,103.8289170,Yishun,0,0,0,0,—,—,—,—,—
Yishun Avenue 5 (Blk 706),1,07/01/2019,1.4289439,103.8287019,Yishun,0,0,0,0,—,—,—,—,—
Yishun Avenue 5 (Blk 734),1,07/01/2019,1.4293732,103.8308601,Yishun,0,0,0,0,—,—,—,—,—
Ang Mo Kio Avenue 9 (Blk 621),2,07/01/2019,1.3830649,103.8406919,Ang Mo Kio,0,0,0,0,28.4,32.1,25.9,9,36
Ang Mo Kio Avenue 9 (Blk 627),1,07/01/2019,1.3818885,103.8413260,Ang Mo Kio,0,0,0,0,28.4,32.1,25.9,9,36
Choa Chu Kang Avenue 2 (Blk 274),1,07/01/2019,1.3793780,103.7428220,Choa Chu Kang (Central),0,0,0,0,—,—,—,—,—
Choa Chu Kang Avenue 3 (Blk 281),1,07/01/2019,1.3810032,103.7431720,Choa Chu Kang (Central),0,0,0,0,—,—,—,—,—
Choa Chu Kang Avenue 3 (Blk 286),1,07/01/2019,1.3800582,103.7418143,Choa Chu Kang (Central),0,0,0,0,—,—,—,—,—
Jalan Eunos (Eunos Mansions),3,07/01/2019,1.3298667,103.9056122,Chai Chee,0,0,0,0,—,—,—,—,—
Mergui Road (Pristine Heights),1,07/01/2019,1.3170939,103.8519834,Whampoa,0,0,0,0,—,—,—,—,—
Woodlands Circle (Blk 734),1,07/01/2019,1.4439831,103.7980353,Admiralty,0,0,0,0,28.2,31.9,26.1,18.7,45.7
Woodlands Circle (Blk 741),1,07/01/2019,1.4443636,103.7958620,Admiralty,0,0,0,0,28.2,31.9,26.1,18.7,45.7
Woodlands Circle (Blk 742),1,07/01/2019,1.4439226,103.7959526,Admiralty,0,0,0,0,28.2,31.9,26.1,18.7,45.7
Woodlands Crescent (Blk 776),1,07/01/2019,1.4477849,103.8000766,Admiralty,0,0,0,0,28.2,31.9,26.1,18.7,45.7
Woodlands Crescent (Blk 780A),1,07/01/2019,1.4483150,103.8009103,Admiralty,0,0,0,0,28.2,31.9,26.1,18.7,45.7
Woodlands Drive 60 (Blk 778),1,07/01/2019,1.4474980,103.7994841,Admiralty,0,0,0,0,28.2,31.9,26.1,18.7,45.7
