Location,No. of Cases,Date,Coordinates,Closest Location,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
"Canberra Walk (Blk 115C), Singapore",1,19-01-18,"1.4460315, 103.8287811",Yishun ,2.5,1.5,1.5,2.5,—,—,—,—,—
"Lorong G Telok Kurau, Singapore",1,19-01-18,"1.3171163, 103.9101586",Tanjong Katong ,30,19.6,26.8,29,—,—,—,—,—
"Lorong G Telok Kurau (Palm Vista), Singapore",1,19-01-18,"1.3171183, 103.9096419",Tanjong Katong ,30,19.6,26.8,29,—,—,—,—,—
"Yishun Avenue 7, Singapore",2,22-01-18,"1.4386374, 103.8334056",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 172), Singapore",5,22-01-18,"1.4368965, 103.8317924",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 173), Singapore",9,22-01-18,"1.4370075, 103.8309346",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Avenue 7 (Blk 174), Singapore",2,22-01-18,"1.4374434, 103.8318144",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 120), Singapore",1,22-01-18,"1.4348902, 103.8293925",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 165), Singapore",1,22-01-18,"1.4357604, 103.8316812",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Ring Road (Blk 166), Singapore",12,22-01-18,"1.4363075, 103.8316116",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 122), Singapore",1,22-01-18,"1.4349397, 103.8309110",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 128), Singapore",10,22-01-18,"1.4339140, 103.8311350",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 131), Singapore",1,22-01-18,"1.4332140, 103.8312190",Yishun ,0,0,0,0,—,—,—,—,—
"Yishun Street 11 (Blk 132), Singapore",1,22-01-18,"1.4328560, 103.8312980",Yishun ,0,0,0,0,—,—,—,—,—
"Jalan Gajus, Singapore",1,22-01-18,"1.3043170, 103.8999760",Marine Parade ,0,0,0,0,—,—,—,—,—
